method, size, measurement number, time
get_amat_0d_3a, 4000, 10, 0.031727
get_amat_0d_3b, 4000, 10, 0.035100
get_amat_0d_4a, 4000, 10, 0.036761
get_amat_0d_4c, 4000, 10, 0.039933
get_amat_0d_4d, 4000, 10, 0.033708
get_amat_0d,    8000,  1, 3.953611
get_amat_0ds,   8000,  1, 4.008673
get_amat_0d_1,  8000,  1, 1.073226
get_amat_0d_1a, 8000,  1, 0.153293
get_amat_0d_1c, 8000,  1, 0.163849
get_amat_0d_1d, 8000,  1, 0.158586
get_amat_0d_2a, 8000,  1, 0.180337
get_amat_0d_3a, 8000,  1, 0.134306
get_amat_0d_3b, 8000,  1, 0.169252
get_amat_0d_4a, 8000,  1, 0.171017
get_amat_0d_4c, 8000,  1, 0.198382
get_amat_0d_4d, 8000,  1, 0.195574
get_amat_0d,    8000,  2, 4.008184
get_amat_0ds,   8000,  2, 4.072155
get_amat_0d_1,  8000,  2, 1.062865
get_amat_0d_1a, 8000,  2, 0.144525
get_amat_0d_1c, 8000,  2, 0.171749
get_amat_0d_1d, 8000,  2, 0.177965
get_amat_0d_2a, 8000,  2, 0.179830
get_amat_0d_3a, 8000,  2, 0.141030
get_amat_0d_3b, 8000,  2, 0.175667
get_amat_0d_4a, 8000,  2, 0.157863
get_amat_0d_4c, 8000,  2, 0.212561
get_amat_0d_4d, 8000,  2, 0.186229
get_amat_0d,    8000,  3, 4.032461
get_amat_0ds,   8000,  3, 4.008462
get_amat_0d_1,  8000,  3, 1.042900
get_amat_0d_1a, 8000,  3, 0.143532
get_amat_0d_1c, 8000,  3, 0.161610
get_amat_0d_1d, 8000,  3, 0.164100
get_amat_0d_2a, 8000,  3, 0.149235
get_amat_0d_3a, 8000,  3, 0.130962
get_amat_0d_3b, 8000,  3, 0.160041
get_amat_0d_4a, 8000,  3, 0.137500
get_amat_0d_4c, 8000,  3, 0.190515
get_amat_0d_4d, 8000,  3, 0.166490
get_amat_0d,    8000,  4, 4.097251
get_amat_0ds,   8000,  4, 4.083471
get_amat_0d_1,  8000,  4, 1.063331
get_amat_0d_1a, 8000,  4, 0.143844
get_amat_0d_1c, 8000,  4, 0.164731
get_amat_0d_1d, 8000,  4, 0.154211
get_amat_0d_2a, 8000,  4, 0.161800
get_amat_0d_3a, 8000,  4, 0.143748
get_amat_0d_3b, 8000,  4, 0.194053
get_amat_0d_4a, 8000,  4, 0.173458
get_amat_0d_4c, 8000,  4, 0.206218
get_amat_0d_4d, 8000,  4, 0.200342
get_amat_0d,    8000,  5, 3.995800
get_amat_0ds,   8000,  5, 3.950064
get_amat_0d_1,  8000,  5, 1.034942
get_amat_0d_1a, 8000,  5, 0.143785
get_amat_0d_1c, 8000,  5, 0.161968
get_amat_0d_1d, 8000,  5, 0.173339
get_amat_0d_2a, 8000,  5, 0.175934
get_amat_0d_3a, 8000,  5, 0.131412
get_amat_0d_3b, 8000,  5, 0.187272
get_amat_0d_4a, 8000,  5, 0.160705
get_amat_0d_4c, 8000,  5, 0.186676
get_amat_0d_4d, 8000,  5, 0.183750
get_amat_0d,    8000,  6, 3.943730
get_amat_0ds,   8000,  6, 4.039306
get_amat_0d_1,  8000,  6, 1.042232
get_amat_0d_1a, 8000,  6, 0.157232
get_amat_0d_1c, 8000,  6, 0.163656
get_amat_0d_1d, 8000,  6, 0.166357
get_amat_0d_2a, 8000,  6, 0.152053
get_amat_0d_3a, 8000,  6, 0.141023
get_amat_0d_3b, 8000,  6, 0.176334
get_amat_0d_4a, 8000,  6, 0.163273
get_amat_0d_4c, 8000,  6, 0.273627
get_amat_0d_4d, 8000,  6, 0.260902
get_amat_0d,    8000,  7, 3.996062
get_amat_0ds,   8000,  7, 4.164380
get_amat_0d_1,  8000,  7, 0.966563
get_amat_0d_1a, 8000,  7, 0.196257
get_amat_0d_1c, 8000,  7, 0.207689
get_amat_0d_1d, 8000,  7, 0.150329
get_amat_0d_2a, 8000,  7, 0.176479
get_amat_0d_3a, 8000,  7, 0.139548
get_amat_0d_3b, 8000,  7, 0.154861
get_amat_0d_4a, 8000,  7, 0.186499
get_amat_0d_4c, 8000,  7, 0.206205
get_amat_0d_4d, 8000,  7, 0.184179
get_amat_0d,    8000,  8, 4.082474
get_amat_0ds,   8000,  8, 4.099536
get_amat_0d_1,  8000,  8, 0.962400
get_amat_0d_1a, 8000,  8, 0.201147
get_amat_0d_1c, 8000,  8, 0.212207
get_amat_0d_1d, 8000,  8, 0.187128
get_amat_0d_2a, 8000,  8, 0.179457
get_amat_0d_3a, 8000,  8, 0.159764
get_amat_0d_3b, 8000,  8, 0.171877
get_amat_0d_4a, 8000,  8, 0.179182
get_amat_0d_4c, 8000,  8, 0.197453
get_amat_0d_4d, 8000,  8, 0.176438
get_amat_0d,    8000,  9, 4.019265
get_amat_0ds,   8000,  9, 4.152785
get_amat_0d_1,  8000,  9, 0.976297
get_amat_0d_1a, 8000,  9, 0.201129
get_amat_0d_1c, 8000,  9, 0.226696
get_amat_0d_1d, 8000,  9, 0.255724
get_amat_0d_2a, 8000,  9, 0.253349
get_amat_0d_3a, 8000,  9, 0.190485
get_amat_0d_3b, 8000,  9, 0.226096
get_amat_0d_4a, 8000,  9, 0.222738
get_amat_0d_4c, 8000,  9, 0.260030
get_amat_0d_4d, 8000,  9, 0.265094
get_amat_0d,    8000, 10, 3.976232
get_amat_0ds,   8000, 10, 3.907309
get_amat_0d_1,  8000, 10, 0.876028
get_amat_0d_1a, 8000, 10, 0.144758
get_amat_0d_1c, 8000, 10, 0.173143
get_amat_0d_1d, 8000, 10, 0.184441
get_amat_0d_2a, 8000, 10, 0.179788
get_amat_0d_3a, 8000, 10, 0.132237
get_amat_0d_3b, 8000, 10, 0.187961
get_amat_0d_4a, 8000, 10, 0.159634
get_amat_0d_4c, 8000, 10, 0.178753
get_amat_0d_4d, 8000, 10, 0.170541
